KEY;en;es;de
NAME_DROPIT;Virtual Geocaching Game for Android;Juego de Geocaching virtual para Android;Virtuelles Geocaching-Spiel für Android
NAME_DUPLICATE;Duplicate recognition system for enterprise resource planning;Reconocimiento de duplicados para un sistema de planificación de recursos empresariales;Dublettenerkennung für Warenwirtschaftssystem
NAME_BARCODE;Barcode-Scanner for iOS;Escaner de códigos de barras para iOS;Barcode-Scanner für iOS
NAME_PRESENTER;"""Presenter"" for trade fairs";„Presenter“ para ferias;„Presenter“ für Messeveranstaltungen
NAME_REWE2011;Rewe Annual Report 2011;Informe anual de REWE – 2011;REWE Geschäftsbericht 2011
NAME_REWE2012;Rewe Annual Report 2011 and Sustainability Report 2011/2012;Informe anual de REWE – 2012 e informe de sostenibilidad 2011/2012;REWE Geschäftsbericht 202 und Nachhaltigkeitsbericht 2011/2012
NAME_KIOSK;Kiosk-Application for „Deutsche Stiftung Denkmalschutz“;Aplicación Kiosk para Deutsche Stiftung Denkmalschutz;Kiosk-Anwendung für Deutsche Stiftung Denkmalschutz
NAME_HAIE;Offizial „Kölner Haie“ app;Aplicación oficial de „Kölner Haie“;Offizielle „Kölner Haie“-App
NAME_AMAYAWEB;Personal web-page;Página web personal;Meine Website
DESCRIPTION_DROPIT;"A game similar to ""Geocaching"". You can leave messages at your current location or try to find messages from other users.";Un juego similar a „Geocaching“. Se pueden dejar mensajes en la localización actual o intentar buscar los mensajes de otros usuarios;Ein Spiel, das „Geocaching“ ähnelt. Man kann an seinem aktuellen Standort Nachrichten hinterlassen oder versuchen die Nachrichten von anderen Benutzern zu suchen.
DESCRIPTION_DUPLICATE;The application allows the identification of duplicates in address lists, so duplicate entries can be removed or merged.;La aplicación permite la identificación de duplicados en las listas de direcciones, por lo que las entradas duplicadas deben ser eliminadas o fusionadas;Die Anwendung ermöglicht eine Dublettenerkennung in Adressbeständen, also doppelte Einträge die gelöscht oder zusammengeführt werden sollten.
DESCRIPTION_BARCODE;The barcode scanner of an existing application for the iPad has been extended by me.;El escáner de códigos de barras de una aplicación existente para iPad fue extendida y mejorada por mí. ;Der Barcode-Scanner einer bereits vorhandenen Anwendung für das iPad wurde von mir stark weiterentwickelt und erweitert. 
DESCRIPTION_PRESENTER;"The ""iPresenter"" application, available for iPad and desktop, allows companies to present themselves at trade fairs and interact with visitors. Different modules are available that can be used and customized for each company. Examples include a module for playing slides, an order form or a contact form.";La aplicación „iPresenter“ para iPad y escritorio permite a una empresa presentarse en una feria comercial e interactual con los visitantes. Están disponibles diferentes móulos, que son utilizados y personalizados para cada empresa. Como ejemplo, un módulo para la reproducción de diapositivas o un formulario de contacto.;Die für iPad und Desktop verfügbare „Presenter“-Anwendung erlaubt es einer Firma sich auf Messeveranstaltungen zu präsentieren und mit Messebesuchern zu interagieren. Dazu sind verschiedene Module verfügbar, die für jede Firma individuell eingesetzt und angepasst werden. Beispiele sind eine Modul für das Abspielen von Slides oder ein Bestell- und Kontaktformular.
DESCRIPTION_REWE2011;The annually published Annual Report of REWE is offered not only in print, but also online with additional features.;El informe anual que se publica anualmente de REWE se ofrece no solo impreso, sino también online con características adicionales.;Der jährlich erscheinende Geschäftsbericht von REWE wird nicht nur in gedruckter Form, sondern auch Online mit zusätzlichen Features angeboten.
DESCRIPTION_REWE2012;Similar to 2011, but as an HTML5 application. In addition, the REWE sustainability report has been prepared 2011/2012 with some new features and other design;Parecido al del 2011, pero basado en HTML5. Además se desarrolla el informe de sostenibilidad 2011/2012 con algunas nuevas funciones.;Ähnlich dem Jahr 2011, aber als HTML5-Anwendung. Zusätzlich wurde der REWE Nachhaltigkeitsbericht 2011/2012 mit einigen neuen Funktionen und anderem Design erstellt.
DESCRIPTION_KIOSK;For the German Foundation for Monument Protection an interactive website has been developed by which you can use a touchscreen to view information about various monuments located on the site.;Para la „fundación alemana para la protección de monumentos“ se desarrolló un sitio web interactivo  sobre la que se puede ver la información en una pantalla táctil sobre varios monumentos ubicados en el lugar;Für die Deutsche Stiftung Denkmalschutz wurde eine interaktive Webseite entwickelt über die man sich vor Ort per Touchscreen Informationen über verschiedene Denkmale ansehen kann.
DESCRIPTION_HAIE;For the KEC a fan application was developed, which provides information about news, information about the current season and future  games, as well as  a live ticker that informs the fans about current game events (including push notification).;Para KEC se desarrolló una app para fans que ofrece información sobre novedades, los resultados de la temporada, los futuros partidos así como un Liveticker que informa a los fans durante un partido (incluye notificaciones push);Für den KEC wurde eine Fan.App entwickelt, der über Neuigkeiten informiert, Auskunft über den aktuelle Tabellenstand und zukünftige Spiele gibt, sowie einen Liveticker enthält der die Fans währen eines Spiels auf dem Laufenden hält (inklusive Push-Benachrichtung).
DESCRIPTION_AMAYAWEB;My personal web-site where I present myself and share interesting content.;Mi página personal, donde me presento profesionalmente, y donde iré anadiendo contenidos de temas que me interesan.;Meine persönliche Webseite auf der ich mich vorstelle und auf der ich interessante Inhalte teile.
ROLE_DROPIT;Development of the whole application as a final project at the university.;Desarrollo de la aplicación completa como proyecto fin de carrera de la universidad.;Entwicklung der ganzen Anwendung als Abschlussprojekt an der Universität.
ROLE_DUPLICATE;A web front-end was developed together with a colleague. Another desktop front-end for integration in an inventory management system was developed by me independently.;El Web-Frontend fue desarrollado por una companera y yo. Un Desktop-Frontend posterior integrado en el software de la empresa fue desarrollado integramente por mí.;Ein Web-Frontend war zusammen mit einer Kollegin entwickelt. Ein weiteres Desktop-Frontend für die direckte Einbindung im Warenwirtschaftssysteme habe ich selbständig entwickelt.
ROLE_BARCODE;While initially only the recognition of specific barcodes was possible by making a photo, I extended this to allow the recognition of different barcodes from the live camera video, without pressing any button. Also the recognition itself was improved.;Aunque en un principio era solo posible el reconocimiento de un código de barras específico haciendo una foto, después de mi extensión fue posible un reconocimiento de distintos códigos de barras con la cámara, sin presionar ningún botón, así como una mejora en el reconocimiento de los códigos de barras.;Während zunächst nur eine Erkennung von spezifischen Barcodes aus einem vom Benutzter gemachten Foto möglich war, wurde durch meine Erweiterung eine Erkennung von verschiedenen Barcodes von der Kamera möglich, ohne das der Auslöser gedrückt werden muss.
ROLE_PRESENTER;The presenter was further developed by me and customized for different customers. Also new modules have been developed.;El iPresenter fue extendido por mí con nuevos módulos y amoldado para los diferentes clientes. ;Der Presenter wurde von mir weiterentwickelt und für verschiedene Kunden angepasst. Dabei wurden zum Teil auch neue Module entwickelt.
ROLE_REWE2011;I was responsible for the actual programming of the site. Content and design, were defined by the customer, or created by a designer.;Yo fui responsable para la programación del sitio web. El diseno y contenidos fueron proporcionados por un disenador y el cliente.;Ich war für die eigentliche Programmierung der Seite verantwortlich, Inhalt und Design wurden dagegen vom Kunden vorgegeben bzw. von einem Designer erstellt.
ROLE_REWE2012;My task was to program the functionality. The layout (HTML / CSS) was created by a designer.;Mi tarea era la programación de la funcionalidad. El Layout (HTML/CSS) fue desarrollado por un disenador.;Meine Aufgabe war die Programmierung der Funktionalität. Das Layout (HTML/CSS) wurde von einem Designer erstellt.
ROLE_KIOSK;My job was programming the interactive elements, such as timelines or a map based on [[OpenStreetMap]].;Mi tarea fue la programación de elementos interactivos, como por ejemplo timelines o un mapa basado en [[OpenStreetMap]].;Meine Aufgabe war die Programmierung der interaktiven Elemente, wie z.B Timelines oder einer Karte auf Basis von [[OpenStreetMap]].
ROLE_HAIE;My task was the complete programming of the app, as well as minor adjustment to the design of the application.;Mi tarea fue la programación de la app, así como pequenos ajustes en el diseno proporcionado.;Meine Aufgabe war die komplette Programmierung der App, sowie kleinere Anpassung am vorgegebenen Design.
ROLE_AMAYAWEB;Design and development of the whole site;Diseno y desarrollo de la página completa.;Design und Entwicklung der ganzen Website.
TECHNOLOGIES_DROPIT;The layout was created with [[Flex]]. The front-end was developed using [[Adobe AIR]] ([[AS3]] and the backend with [[ASP.NET]] and [[WCF]] ([[C #]]);El layout fue producido con [[Flex]]. El frontend fue desarrollado con [[Adobe AIR]] [[AS3]] y el Backend con [[ASP.NET]] y [[WCF]] ([[C#]]).;Das Design wurde mit [[Flex]] erstellt. Das Frontend wurde mit [[Adobe AIR]]([[AS3]] entwickelt und das Backend mit [[ASP.NET]] und [[WCF]] ([[C#]]).
TECHNOLOGIES_DUPLICATE;Web front-end: [[Silverlight]] with [[C #]] and [[MVVM]] pattern (Model View View-Model). Desktop Frontend: [[Windows Forms]] ([[Visual Basic .NET]]).;Web-Frontend: [[Silverlight]] con [[C#]] y el patrón [[MVVM]] (Model View View Model).  Desktop-Frontend: [[Windows Forms]] ([[Visual Basic .NET]]).;Web-Frontend: [[Silverlight]] mit [[C#]] und [[MVVM]]-Pattern (Model View View-Model). Desktop-Frontend: [[Windows Forms]] ([[Visual Basic .NET]]).
TECHNOLOGIES_BARCODE;The recognition of barcodes was done with a free library. The application itself is based on [[Flex]].;El reconocimiento de códigos de barras se realizó mediante una biblioteca libre. La aplicación en sí fue programada con [[Flex]].;Die Erkennung der Barcodes erfolge durch eine freie Bibliothek. Die Anwendung selber ist in [[Flex]] programmiert.
TECHNOLOGIES_PRESENTER;The iPresenter is fully developed in [[Flash]].;El presenter está completamente desarrollado con [[Flash]];der Presenter ist komplett in [[Flash]] entwickelt.
TECHNOLOGIES_REWE2011;The design was specified as a Photoshop (.psd) file. From this I developed with [[Flash Professional]] the interactive elements and the actual program logic.;El diseno fue proporcionado como archivo de photoshop. Con ello creé los elementos interactivos con [[Flash Professional]] y desarrollado la lógica de programación en [[as3]];Das Design wurde als Photoshop (.psd) vorgegeben. Daraus habe ich mit [[Flash Professional]] die interaktiven Elemente und die eigentliche Programmlogik entwickelt.
TECHNOLOGIES_REWE2012;The Web application is based on HTML5. [[jQuery]] and various jQuery Controls were used for the site logic and the interactive elements.;La aplicación web se basa en HTML5. Para la lógica de la página y los elementos interactivos se usó [[jQuery]] y diversos controles de jQuery.;Die Web-Anwendung basiert auf HTML5. Für die Seiten-logik und die interaktiven Elemente kamen [[jQuery]] und dieverse jQuery-Controls zum Einsatz.
TECHNOLOGIES_KIOSK;The application is based on HTML5 (generated by TYPO3) and [[Javascript]]. For the functionality various Javascript libraries such as [[Leaflet]]  (integration for [[OpenStreetMap]]) or [[TimelineJS]] (for historical timelines) were used.;La aplicación está basada en [[HTML5]] (generado con Typo3) y [[Javascript]]. Para la funcionalidad se usaron varias bibliotecas de Javascript como [[Leaflet]] (para [[OpenStreetMap]]) o [[TimelineJS]] (para líneas de tiempo históricas).;Die Anwendung basiert auf HTML5 (generiert mit TYPO3) und [[Javascript]]. Für die Funktionalität wurden verschiedene Javascript Bibliotheken wie [[Leaflet]] (für [[OpenStreetMap]]-Integration) oder [[TimelineJS]] (für historische Zeitleisten) eingesetzt.
TECHNOLOGIES_HAIE;The application is based on [[HTML5]] and was created with [[sencha-touch 2]] and [[Phonegap]].;La aplicación está basada en [[HTML5]] y fue desarrollada con [[sencha-touch 2]] y [[Phonegap]].;Die Anwendung basiert auf [[HTML5]] und wurde mit [[sencha-touch 2]] und [[Phonegap]] erstellt.
TECHNOLOGIES_AMAYAWEB;The website is based on [[HTML5]], [[jQuery]], [[PHP]] and [[MySQL]]. It also has [[Responsive Design]].;La página está basada en [[HTML5]], [[jQuery]], [[PHP]] y [[MySQL]]. Cuenta también con [[Responsive Design]].;Die Website basiert auf [[HTML5]], [[jQuery]], [[PHP]] und [[MySQL]]. Es hat auch [[Responsive-Design]].
MENU_1;Home;Inicio;Start
MENU_2;Curriculum;Currículum;Lebenslauf
MENU_3;Projects;Proyectos;Projekte
MENU_4;Blog;Blog;Blog
MENU_5;Contact;Contacto;Kontakt
MENU_6;About;Aviso Legal;Impressum
INTRODUCTION_TITLE_1;About me and my work;Sobre mí y mi trabajo;Über mich und meine Arbeit
INTRODUCTION_TITLE_2;What I offer in this page;Que ofrezco en esta página;Was ich auf dieser Seite anbiete
INTRODUCTION_OFFER;In this space I want to present an interactive resume of my work as a developer, as well as a small personal space in the blog section. I encourage whoever wants to ask me something or make a remark to contact me with the email or phone in the contact section.;En este espacio quiero mostrar un resumen interactivo de mi trabajo como desarrolladora, a parte de un pequeno espacio personal en la sección de blog. Animo a quien quiera hacerme alguna pregunta o comentario a contactar conmigo por el email o teléfono que se encuentra en la sección de contacto.;Auf dieser Seite möchte ich eine interaktive Zusammenfassung meiner Arbeit zeigen und meinen persönlichen Blog pflegen. Ich ermuntere alle, die Fragen oder Kommentare haben, mich per Email oder Telefon zu kontaktieren. Die Daten finden Sie im Kontakt-Bereich.
INTRODUCTION_MYWORK;In Germany since 2010, I work since 2011 as a software developer mostly in web pages and mobile applications with technologies such as [[HTML5]], [[javascript]], [[jQuery]], [[Flash]]/[[Flex]], [[phonegap]] and [[sencha-touch 2]] for [[Frontend]] and [[.NET]] for the Backend.;En Alemania desde 2010, trabajo desde 2011 programando páginas web y aplicaciones móviles principalmente con las tecnologías de [[HTML5]], [[javascript]], [[jQuery]], [[Flash]][[flex]], [[phonegap]] y [[sencha-touch 2]] para Frontend y [[.NET]] para Backend.;Ich wohne seit 2010 in Deutschland und arbeite seit 2011 als Software-Entwickler von Webseiten und mobilen Anwendungen mit Technologien wie [[HTML5]], [[javascript]], [[jQuery]], [[Flash]]/[[flex]], [[phonegap]] und [[sencha-touch 2]] für das Frontend und [[.NET]] für das Backend.
INTRODUCTION_HOBBIES;I love new discoveries and challenges, music, reading books, cosplay and martial arts.;Me encantan los nuevos descubrimientos y retos, la música, leer novelas, el cosplay y los deportes de combate.;Ich liebe neue Entdeckungen und Herausforderungen, Musik,, Romane zu lesen, Cosplay und Kampfsportarten.
INTRODUCTION_QUOTE;.;.;.
DOWNLOAD_ALL_TEXT;Donwload all as PDF;Bajar todo como PDF;Alles als PDF herunterladen
DOWNLOAD_SOURCE;Download source code;Descargar código fuente;Source-Code herunterladen
CONTACT_TITILE;Contact;Contacto;Kontakt
META_KEYWORDS_INDEX;home, amaya pascual cajal, software developer, software, HTML, javascript, jQuery, Flash, Flex, phonegap, sencha-touch, .NET, Frontend, Backend, Köln;home, amaya pascual cajal, desarrolladora de software, software, HTML, javascript, jQuery, Flash, Flex, phonegap, sencha-touch, .NET, Frontend, Backend, Köln;home, amaya pascual cajal, software entwickler, software, HTML, javascript, jQuery, Flash, Flex, phonegap, sencha-touch, .NET, Frontend, Backend, Köln
META_KEYWORDS_BLOG;Amaya Pascual Cajal, blog;Amaya Pascual Cajal, blog;Amaya Pascual Cajal, blog
META_KEYWORDS_CURRICULUM;amaya pascual cajal, curriculum, developer, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex, technical engineer in informatics management;amaya pascual cajal, curriculum, desarrolladora, programadora, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex, ingeniera técnica en informática de gesión;amaya pascual cajal, curriculum, entwickler, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex
META_KEYWORDS_CONTACT;contact, amaya pascual cajal;contacto, amaya pascual cajal;kontakt, amaya pascual cajal
META_KEYWORDS_IMPRESSUM;impressum, amaya;impressum, amaya;impressum, amaya
META_KEYWORDS_PROJECTS;Amaya Pascual Cajal, projects, software developer, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex;Amaya Pascual Cajal, proyectos, desarrolladora, programadora, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex;Amaya Pascual Cajal, Projekt, Entwickler, javascript, HTML, jQuery, .NET, java, sencha-touch, phonegap, Flash, Flex
META_KEYWORDS_MAP;Amaya Pascual Cajal, developer,map, home, curriculum, projects, blog, contact, impressum;Amaya Pascual Cajal, desarrolladora, programadora,map, inicio, curriculum, proyectos, blog, contacto, impressum;Amaya Pascual Cajal, Entwickler,map, Home, Curriculum, Projekt, Blog, Kontakt, Impressum
META_DESCRIPTION_INDEX;Personal Website - Amaya Pascual Cajal;Página personal de Amaya Pascual Cajal;Persönliche Webseite - Amaya Pascual Cajal
META_DESCRIPTION_BLOG;Blog - Amaya Pascual Cajal;Blog - Amaya Pascual Cajal;Blog - Amaya Pascual Cajal
META_DESCRIPTION_CURRICULUM;Curriculum Amaya Pascual Cajal;Curriculum Amaya Pascual Cajal;Curriculum Amaya Pascual Cajal
META_DESCRIPTION_CONTACT;Contact with Amaya Pascual Cajal;Contactar con Amaya Pascual Cajal;Kontakt mit Amaya Pascual Cajal
META_DESCRIPTION_IMPRESSUM;Impressum - Amaya Pascual Cajal;Impressum - Amaya Pascual Cajal;Impressum - Amaya Pascual Cajal
META_DESCRIPTION_PROJECTS;Proyects in which Amaya Pascual Cajal has participated;Proyectos en los que ha participado Amaya Pascual Cajal;Projekte an denen Amaya Pascual Cajal teilgenommen hat
META_DESCRIPTION_MAP;map - Amaya Pascual Cajal;map - Amaya Pascual Cajal;map - Amaya Pascual Cajal
DESCRIPTION;description;descripción;Beschreibung
ROL;rol;rol;Rolle
TECHNOLOGIES;technologies;tecnologías empleadas;Technologien
